    PID    PPID STAT CMD
     95       2 S    [cpuhp/21]
     96       2 S    [idle_inject/21]
     97       2 S    [migration/21]
     98       2 S    [ksoftirqd/21]
    100       2 I<   [kworker/21:0H-kblockd]
    101       2 S    [cpuhp/22]
    102       2 S    [idle_inject/22]
    103       2 S    [migration/22]
    104       2 S    [ksoftirqd/22]
    106       2 I<   [kworker/22:0H-kblockd]
    107       2 S    [cpuhp/23]
    108       2 S    [idle_inject/23]
    109       2 S    [migration/23]
    110       2 S    [ksoftirqd/23]
    112       2 I<   [kworker/23:0H-kblockd]
    113       2 S    [cpuhp/1]
    114       2 S    [idle_inject/1]
    115       2 S    [migration/1]
    116       2 S    [ksoftirqd/1]
    118       2 I<   [kworker/1:0H-kblockd]
    119       2 S    [cpuhp/3]
    120       2 S    [idle_inject/3]
    121       2 S    [migration/3]
    122       2 S    [ksoftirqd/3]
    124       2 I<   [kworker/3:0H-kblockd]
    125       2 S    [cpuhp/5]
    126       2 S    [idle_inject/5]
    127       2 S    [migration/5]
    128       2 S    [ksoftirqd/5]
    130       2 I<   [kworker/5:0H-kblockd]
    131       2 S    [cpuhp/7]
    132       2 S    [idle_inject/7]
    133       2 S    [migration/7]
    134       2 S    [ksoftirqd/7]
    136       2 I<   [kworker/7:0H-kblockd]
    137       2 S    [cpuhp/9]
    138       2 S    [idle_inject/9]
    139       2 S    [migration/9]
    140       2 S    [ksoftirqd/9]
    142       2 I<   [kworker/9:0H-kblockd]
    143       2 S    [cpuhp/11]
    144       2 S    [idle_inject/11]
    145       2 S    [migration/11]
    146       2 S    [ksoftirqd/11]
    148       2 I<   [kworker/11:0H-kblockd]
    149       2 S    [cpuhp/13]
    150       2 S    [idle_inject/13]
    151       2 S    [migration/13]
    152       2 S    [ksoftirqd/13]
    154       2 I<   [kworker/13:0H-kblockd]
    155       2 S    [cpuhp/15]
    156       2 S    [idle_inject/15]
    157       2 S    [migration/15]
    158       2 S    [ksoftirqd/15]
    160       2 I<   [kworker/15:0H]
    161       2 S    [kdevtmpfs]
    162       2 I<   [kworker/R-inet_frag_wq]
    163       2 I    [rcu_tasks_kthread]
    164       2 I    [rcu_tasks_rude_kthread]
    165       2 S    [kauditd]
    166       2 S    [khungtaskd]
    167       2 S    [oom_reaper]
    170       2 I<   [kworker/R-writeback]
    171       2 S    [kcompactd0]
    172       2 SN   [ksmd]
    173       2 SN   [khugepaged]
    174       2 I<   [kworker/R-kblockd]
    175       2 I<   [kworker/R-blkcg_punt_bio]
    176       2 I<   [kworker/R-kintegrityd]
    177       2 S    [irq/9-acpi]
    179       2 I    [kworker/1:1-mm_percpu_wq]
    181       2 I<   [kworker/R-tpm_dev_wq]
    182       2 I<   [kworker/R-ata_sff]
    183       2 I<   [kworker/R-md_bitmap]
    184       2 I<   [kworker/R-md_llbitmap_io]
    185       2 I<   [kworker/R-md_llbitmap_unplug]
    186       2 I<   [kworker/R-md]
    187       2 I<   [kworker/R-edac-poller]
    188       2 I<   [kworker/R-devfreq_wq]
    189       2 S    [watchdogd]
    190       2 I<   [kworker/R-quota_events_unbound]
    192       2 S    [kswapd0]
    193       2 S    [ecryptfs-kthread]
    194       2 I<   [kworker/R-kthrotld]
    195       2 S    [irq/120-aerdrv]
    196       2 S    [irq/121-aerdrv]
    197       2 S    [irq/122-pciehp]
    198       2 S    [irq/123-aerdrv]
    199       2 I<   [kworker/R-acpi_thermal_pm]
    201       2 S    [hwrng]
    202       2 I<   [kworker/R-hfi-updates]
    203       2 I<   [kworker/R-mld]
    204       2 I<   [kworker/R-ipv6_addrconf]
    205       2 I<   [kworker/R-kstrp]
    211       2 I    [kworker/3:1-events]
    225       2 I<   [kworker/u97:0]
    236       2 I<   [kworker/R-charger_manager]
    550       2 I<   [kworker/R-nvme-wq]
    551       2 I<   [kworker/R-nvme-reset-wq]
    552       2 I<   [kworker/R-nvme-delete-wq]
    553       2 I<   [kworker/R-nvme-auth-wq]
    554       2 S    [scsi_eh_0]
    555       2 I<   [kworker/R-scsi_tmf_0]
    556       2 S    [scsi_eh_1]
    557       2 I<   [kworker/R-scsi_tmf_1]
    558       2 S    [scsi_eh_2]
    559       2 I<   [kworker/R-scsi_tmf_2]
    560       2 S    [scsi_eh_3]
    561       2 I<   [kworker/R-scsi_tmf_3]
    562       2 S    [scsi_eh_4]
    563       2 I<   [kworker/R-scsi_tmf_4]
    564       2 S    [scsi_eh_5]
    565       2 I<   [kworker/R-scsi_tmf_5]
    566       2 S    [scsi_eh_6]
    567       2 I<   [kworker/R-scsi_tmf_6]
    568       2 S    [scsi_eh_7]
    569       2 I<   [kworker/R-scsi_tmf_7]
    595       2 I<   [kworker/12:1H-kblockd]
    596       2 I<   [kworker/2:1H-kblockd]
    597       2 I<   [kworker/4:1H-kblockd]
    623       2 I<   [kworker/R-xfsalloc]
    624       2 I<   [kworker/R-xfs_mru_cache]
    625       2 I<   [kworker/R-xfs-buf/sda2]
    626       2 I<   [kworker/R-xfs-conv/sda2]
    627       2 I<   [kworker/R-xfs-reclaim/sda2]
    628       2 I<   [kworker/R-xfs-blockgc/sda2]
    629       2 I<   [kworker/R-xfs-inodegc/sda2]
    630       2 I<   [kworker/R-xfs-log/sda2]
    631       2 I<   [kworker/R-xfs-cil/sda2]
    632       2 S    [xfsaild/sda2]
    633       2 I<   [kworker/17:1H-kblockd]
    634       2 I<   [kworker/9:1H-kblockd]
    837       2 I<   [kworker/20:1H-kblockd]
    855       1 S<s  /usr/lib/systemd/systemd-journald
    891       2 I<   [kworker/21:1H-kblockd]
    895       2 I<   [kworker/10:1H-kblockd]
    898       2 I<   [kworker/6:1H-kblockd]
    900       2 I<   [kworker/14:1H-kblockd]
    903       2 I<   [kworker/16:1H-kblockd]
    906       1 Ss   /usr/lib/systemd/systemd-oomd
    907       1 Ss   /usr/lib/systemd/systemd-resolved
    913       1 Ss   /usr/lib/systemd/systemd-udevd
    915       2 S    [psimon]
    983       2 I<   [kworker/0:1H-kblockd]
    984       2 I<   [kworker/19:1H-kblockd]
    986       2 S    [irq/135-mei_me]
    995       2 I<   [kworker/23:1H-kblockd]
   1218       2 S    [nv_queue]
   1219       2 S    [nv_mem_pool_scrubber_queue]
   1220       2 S    [nv_mem_pool_scrubber_queue]
   1221       2 S    [nv_mem_pool_scrubber_queue]
   1222       2 S    [nv_queue]
   1223       2 S    [nv_open_q]
   1478       2 I<   [kworker/R-ttm]
   1479       2 S    [card1-crtc0]
   1480       2 S    [card1-crtc1]
   1481       2 S    [card1-crtc2]
   1482       2 S    [card1-crtc3]
   1483       2 S    [nvidia-modeset/kthread_q]
   1484       2 S    [nvidia-modeset/deferred_close_kthread_q]
   1486       2 S    [irq/138-nvidia]
   1487       2 S    [nvidia]
   1488       2 S    [nv_queue]
   1497       2 I    [kworker/15:2-mm_percpu_wq]
   1672       2 I<   [kworker/8:1H-kblockd]
   1678       2 I<   [kworker/15:1H-kblockd]
   1696       2 I<   [kworker/3:1H-kblockd]
   1764       2 I<   [kworker/11:1H-kblockd]
   1788       2 I<   [kworker/22:1H-kblockd]
   1801       2 I<   [kworker/13:1H-kblockd]
   1872       2 I<   [kworker/1:1H-kblockd]
   1875       2 I<   [kworker/18:1H-kblockd]
   1881       2 I<   [kworker/7:1H-kblockd]
   1956       2 S    [UVM global queue]
   1958       2 S    [UVM deferred release queue]
   1959       2 S    [UVM Tools Event Queue]
   6835       1 Ss   avahi-daemon: running [lhpc.local]
   6836       1 Ss   /bin/sh /usr/lib/systemd/scripts/chronyd-starter.sh -n -F 1
   6837       1 Ss   @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   6844       1 Ss   /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
   6848       1 Ssl  /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
   6855       1 Ss   /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
   6859       1 Ss   /usr/sbin/cron -f -P
   6862       1 Ssl  /usr/libexec/switcheroo-control
   6870       1 Ss   /usr/lib/systemd/systemd-logind
   6872       1 Ssl  /usr/sbin/thermald --systemd --dbus-enable --adaptive
   6873       1 Ssl  /usr/libexec/udisks2/udisksd
   6886    6835 S    avahi-daemon: chroot helper
   6904    6836 S    /usr/sbin/chronyd -n -F 1
   6978    6904 S    /usr/sbin/chronyd -n -F 1
   7005       1 Ssl  /usr/sbin/rsyslogd -n -iNONE
   7011       1 Ssl  /usr/sbin/NetworkManager --no-daemon
   7029       1 Ss   /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
   7045       1 Ssl  /usr/sbin/ModemManager
   7132       1 Ss   /usr/sbin/cupsd -l
   7136       1 Ssl  /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   7270       2 I<   [kworker/5:1H-kblockd]
   7648       1 Ssl  /usr/sbin/cups-browsed
   7745       1 Ssl  /usr/sbin/gdm3
   7903       1 SNsl /usr/libexec/rtkit-daemon
   8095       1 Ssl  /usr/libexec/colord
   8145       1 Ssl  /usr/libexec/upowerd
   9651       1 Ssl  /usr/libexec/power-profiles-daemon
   9686    7132 S    /usr/lib/cups/notifier/dbus dbus://
  13535       1 Ss   /usr/sbin/uuidd --socket-activation --cont-clock
  25610       1 Ss   /usr/lib/systemd/systemd --user
  25612   25610 S    (sd-pam)
  25890   25610 Ssl  /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
  25892   25610 Ss   /usr/bin/ssh-agent -D
  50763       1 Ssl  /usr/libexec/fwupd/fwupd
  52381       1 Ssl  /usr/lib/podman/netavark firewalld-reload
  53511   25610 S    catatonit -P
  54141   25610 Ss   /usr/bin/conmon --api-version 1 -c 4975d34302bf31f94307a823a1b0c770898dd84739ace61fb876fa8dc6a103ab -u 4975d34302bf31f94307a823a1b0c770898dd84739ace61fb876fa8dc6a103ab -r /usr/bin/crun -b /home/bogdan/snap/code/244/.local/share/containers/storage/overlay-containers/4975d34302bf31f94307a823a1b0c770898dd84739ace61fb876fa8dc6a103ab/userdata -p /run/user/1000/containers/overlay-containers/4975d34302bf31f94307a823a1b0c770898dd84739ace61fb876fa8dc6a103ab/userdata/pidfile -n crazysim-garden --exit-dir /run/user/1000/libpod/tmp/exits --persist-dir /run/user/1000/libpod/tmp/persist/4975d34302bf31f94307a823a1b0c770898dd84739ace61fb876fa8dc6a103ab --full-attach -s -l journald --log-level warning --syslog --runtime-arg --log-format=json --runtime-arg --log --runtime-arg=/run/user/1000/containers/overlay-containers/4975d34302bf31f94307a823a1b0c770898dd84739ace61fb876fa8dc6a103ab/userdata/oci-log --conmon-pidfile /run/user/1000/containers/overlay-containers/4975d34302bf31f94307a823a1b0c770898dd84739ace61fb876fa8dc6a103ab/userdata/conmon.pid --exit-command /usr/bin/podman --exit-command-arg --root --exit-command-arg /home/bogdan/snap/code/244/.local/share/containers/storage --exit-command-arg --runroot --exit-command-arg /run/user/1000/containers --exit-command-arg --log-level --exit-command-arg warning --exit-command-arg --cgroup-manager --exit-command-arg systemd --exit-command-arg --tmpdir --exit-command-arg /run/user/1000/libpod/tmp --exit-command-arg --network-config-dir --exit-command-arg  --exit-command-arg --network-backend --exit-command-arg netavark --exit-command-arg --volumepath --exit-command-arg /home/bogdan/snap/code/244/.local/share/containers/storage/volumes --exit-command-arg --db-backend --exit-command-arg sqlite --exit-command-arg --transient-store=false --exit-command-arg --hooks-dir --exit-command-arg /usr/share/containers/oci/hooks.d --exit-command-arg --runtime --exit-command-arg crun --exit-command-arg --storage-driver --exit-command-arg overlay --exit-command-arg --events-backend --exit-command-arg journald --exit-command-arg container --exit-command-arg cleanup --exit-command-arg --stopped-only --exit-command-arg 4975d34302bf31f94307a823a1b0c770898dd84739ace61fb876fa8dc6a103ab
  54143   54141 Ss   /bin/sh /usr/bin/entrypoint --verbose --name bogdan --user 1000 --group 1000 --home /home/bogdan --init 0 --nvidia 0 --pre-init-hooks  --additional-packages  --
 164539       1 Ssl  /usr/local/bin/ollama serve
 167881       2 I    [kworker/5:1-events]
 200595       2 I    [kworker/7:1-events]
 234499       2 I    [kworker/11:1-cgroup_release]
 263552       2 I    [kworker/21:2-events]
 268418       2 I    [kworker/18:2-events]
 295753       2 S    [jfsIO]
 295754       2 S    [jfsCommit]
 295755       2 S    [jfsCommit]
 295756       2 S    [jfsCommit]
 295757       2 S    [jfsCommit]
 295758       2 S    [jfsCommit]
 295759       2 S    [jfsCommit]
 295760       2 S    [jfsCommit]
 295761       2 S    [jfsCommit]
 295762       2 S    [jfsCommit]
 295763       2 S    [jfsCommit]
 295764       2 S    [jfsCommit]
 295765       2 S    [jfsCommit]
 295766       2 S    [jfsCommit]
 295767       2 S    [jfsCommit]
 295768       2 S    [jfsCommit]
 295769       2 S    [jfsCommit]
 295770       2 S    [jfsCommit]
 295771       2 S    [jfsCommit]
 295772       2 S    [jfsCommit]
 295773       2 S    [jfsCommit]
 295774       2 S    [jfsCommit]
 295775       2 S    [jfsCommit]
 295776       2 S    [jfsCommit]
 295777       2 S    [jfsCommit]
 295778       2 S    [jfsSync]
 296277       2 I    [kworker/15:1-events]
 297468       2 I    [kworker/11:0-events]
 305604       2 I    [kworker/22:2-events]
 313454       2 I    [kworker/17:2-mm_percpu_wq]
 314953       2 I    [kworker/19:0-cgroup_release]
 315302       2 I    [kworker/4:2-events]
 317870       2 I    [kworker/13:2-events]
 319982       2 I    [kworker/14:2-events]
 320062       2 I    [kworker/10:1-events]
 322393       2 I    [kworker/2:1-memcg]
 323154       2 I    [kworker/18:0-events]
 323949       2 I    [kworker/8:3-events]
 325937       2 I    [kworker/0:2-events]
 329543       2 I    [kworker/16:1-inode_switch_wbs]
 329671       2 I    [kworker/21:0-mm_percpu_wq]
 329875       2 I    [kworker/12:0-events]
 330824       2 I    [kworker/12:1-events]
 330868       2 I    [kworker/u96:0-xfs-blockgc/sda2]
 332901       2 I    [kworker/6:0-events]
 332902       2 I    [kworker/6:3-mm_percpu_wq]
 332907       1 Ss   login -- bogdan
 332975  332907 Ss+  -bash
 333329       2 I    [kworker/5:0-mm_percpu_wq]
 333341       2 I    [kworker/2:2-mm_percpu_wq]
 333529       1 Ss+  /usr/sbin/agetty --noreset --noclear --issue-file=/etc/issue:/etc/issue.d:/run/issue.d:/usr/lib/issue.d - linux
 336045       2 I    [kworker/23:0-events]
 336840       1 Ssl  /usr/lib/snapd/snapd
 336846       2 I    [kworker/4:1-events]
 337250       2 I    [kworker/19:1-mm_percpu_wq]
 337468       2 S    [psimon]
 337476       1 Ssl  /usr/libexec/accounts-daemon
 340214       2 I    [kworker/14:1-events]
 344066       2 I    [kworker/8:0-mm_percpu_wq]
 349636       2 I    [kworker/23:3-memcg]
 349749       2 I    [kworker/1:2-events]
 349751       2 I    [kworker/u96:8-flush-8:0]
 349752       2 I    [kworker/u96:9-flush-8:0]
 349756       2 I    [kworker/0:1-events]
 349840       2 I    [kworker/3:2-cgroup_free]
 349844       2 I    [kworker/13:1-events]
 351513       2 I    [kworker/10:2-cgroup_free]
 351638       2 I    [kworker/7:0-mm_percpu_wq]
 352852       2 I    [kworker/16:3-events]
 354145       1 Ssl  /usr/libexec/gnome-remote-desktop-daemon --system
 356447    7745 Sl   gdm-session-worker [pam/gdm-launch-environment]
 356631       2 I    [kworker/20:3-events]
 356658       2 I    [kworker/20:4-mm_percpu_wq]
 356718       1 Ss   /usr/lib/systemd/systemd --user
 356759  356718 S    (sd-pam)
 356795  356718 Ss   /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 356796  356718 S<sl /usr/bin/pipewire
 356801  356447 Ssl+ /usr/libexec/gdm-wayland-session gnome-session
 356815  356801 Sl+  /usr/libexec/gnome-session-init-worker gnome-login
 356816  356718 Ss   /usr/bin/mpris-proxy
 356820  356718 S<sl /usr/bin/wireplumber
 356823  356718 Ssl  /usr/bin/pipewire -c filter-chain.conf
 356826  356718 S<sl /usr/bin/pipewire-pulse
 356914  356718 Ssl  /usr/libexec/gcr-ssh-agent --base-dir /run/user/60584/gcr
 356915  356718 Ssl  /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/60584/keyring
 356916  356718 Ssl  /usr/libexec/gnome-session-ctl --monitor
 356917  356718 Ss   /usr/bin/ssh-agent -D
 356944  356718 Ssl  /usr/libexec/xdg-document-portal
 356958  356718 Ssl  /usr/libexec/xdg-permission-store
 356965  356944 Ss   fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/60584/doc
 357014  356718 Ssl  /usr/libexec/gnome-session-service --session=gnome-login
 357040  356718 Ssl  /usr/bin/gnome-shell --mode=gdm
 357057       2 S    [nvidia-drm/timeline-4a5]
 357085  356718 Ssl  /usr/libexec/at-spi-bus-launcher
 357092  357085 S    /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/60584/at-spi/bus
 357094  356718 Sl   /usr/libexec/at-spi2-registryd --use-gnome-session
 357195  356718 Sl   /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
 357209  356718 Ssl  /usr/bin/ibus-daemon --panel disable
 357210  356718 Ssl  /usr/libexec/gsd-a11y-settings
 357212  356718 Ssl  /usr/libexec/gsd-keyboard
 357214  356718 Ssl  /usr/libexec/gsd-media-keys
 357215  356718 Ssl  /usr/libexec/gsd-power
 357222  356718 Ssl  /usr/libexec/gsd-rfkill
 357223  356718 Ssl  /usr/libexec/gsd-sharing
 357225  356718 Ssl  /usr/libexec/gsd-smartcard
 357226  356718 Ssl  /usr/libexec/gsd-usb-protection
 357270  356718 Sl   /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
 358286  357209 Sl   /usr/libexec/ibus-dconf
 358289  356718 Sl   /usr/libexec/ibus-portal
 358290  356718 Ssl  /usr/libexec/xdg-desktop-portal
 358309  357209 Sl   /usr/libexec/ibus-engine-simple
 358310  356718 Ssl  /usr/libexec/xdg-desktop-portal-gnome
 358583  356718 Ssl  /usr/libexec/xdg-desktop-portal-gtk
 358689   25610 Ss   /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
 358690   25610 Ssl  /usr/libexec/xdg-document-portal
 358694   25610 Ssl  /usr/libexec/xdg-permission-store
 358701  358690 Ss   fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
 359337       2 S    [vidmem lazy free]
 359351       2 S    [UVM GPU1 BH]
 359352       2 S    [UVM GPU1 KC]
 359368       2 I    [kworker/17:1-events]
 360666    7745 Sl   gdm-session-worker [pam/gdm-password]
 361038   25610 SLsl /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
 361102  360666 Ssl  /usr/libexec/gdm-wayland-session /usr/bin/gnome-session --session=ubuntu
 361130  361102 Sl   /usr/libexec/gnome-session-init-worker ubuntu
 361194   25610 Ssl  /usr/libexec/gnome-session-ctl --monitor
 361204   25610 Ssl  /usr/libexec/gvfsd
 361216   25610 Sl   /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
 361222   25610 Ssl  /usr/libexec/gnome-session-service --session=ubuntu
 361240   25610 SLsl /usr/bin/gnome-shell --mode=ubuntu
 361260       2 S    [nvidia-drm/timeline-4b0]
 361272   25610 Ssl  /usr/libexec/at-spi-bus-launcher
 361279  361272 S    /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
 361281   25610 Sl   /usr/libexec/at-spi2-registryd --use-gnome-session
 361300   25610 Sl   /usr/libexec/gnome-shell-calendar-server
 361308   25610 Ssl  /usr/libexec/evolution-source-registry
 361321   25610 Sl   /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
 361328   25610 Ssl  /usr/bin/ibus-daemon --panel disable
 361330   25610 Ssl  /usr/libexec/gsd-a11y-settings
 361335   25610 Ssl  /usr/libexec/gsd-color
 361340   25610 Ssl  /usr/libexec/gsd-datetime
 361341   25610 Ssl  /usr/libexec/gsd-housekeeping
 361342   25610 Ssl  /usr/libexec/gsd-keyboard
 361343   25610 Ssl  /usr/libexec/gsd-media-keys
 361345   25610 Ssl  /usr/libexec/gsd-power
 361346   25610 Ssl  /usr/libexec/gsd-print-notifications
 361349   25610 Ssl  /usr/libexec/gsd-rfkill
 361351   25610 Ssl  /usr/libexec/gsd-screensaver-proxy
 361355   25610 Ssl  /usr/libexec/gsd-sharing
 361365   25610 Ssl  /usr/libexec/gsd-smartcard
 361370   25610 Ssl  /usr/libexec/gsd-sound
 361373   25610 Ssl  /usr/libexec/gsd-usb-protection
 361376   25610 Sl   /usr/libexec/gsd-disk-utility-notify
 361381   25610 Ssl  /usr/libexec/gsd-wwan
 361385   25610 Sl   /usr/libexec/evolution-data-server/evolution-alarm-notify
 361400   25610 Ssl  /usr/libexec/gvfs-udisks2-volume-monitor
 361426   25610 Sl   /usr/bin/update-notifier
 361496   25610 Sl   /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
 361502   25610 Sl   /usr/libexec/goa-daemon
 361506  361328 Sl   /usr/libexec/ibus-dconf
 361512  361328 Sl   /usr/libexec/ibus-extension-gtk3
 361525   25610 Sl   /usr/libexec/ibus-portal
 361580   25610 Sl   /usr/libexec/goa-identity-service
 361585   25610 SLsl /usr/libexec/gnome-remote-desktop-daemon --handover
 361587   25610 SNsl /usr/libexec/localsearch-3
 361588   25610 Ssl  /usr/bin/pipewire
 361590   25610 Ssl  /usr/bin/wireplumber
 361591   25610 Ssl  /usr/bin/pipewire-pulse
 361592   25610 Ssl  /usr/libexec/xdg-desktop-portal
 361595   25610 Ssl  /usr/libexec/evolution-calendar-factory
 361596   25610 Sl   /usr/libexec/gsd-printer
 361597   25610 Ssl  /usr/libexec/gvfs-mtp-volume-monitor
 361634   25610 Ssl  /usr/libexec/xdg-desktop-portal-gnome
 361636   25610 Ssl  /usr/libexec/gvfs-gphoto2-volume-monitor
 361655   25610 Ssl  /usr/libexec/gvfs-goa-volume-monitor
 361662   25610 Ssl  /usr/libexec/evolution-addressbook-factory
 361667   25610 Ssl  /usr/libexec/gvfs-afc-volume-monitor
 361709  361328 Sl   /usr/libexec/ibus-engine-simple
 361739   25610 Ssl  /usr/libexec/dconf-service
 361745   25610 Ssl  /usr/libexec/gvfsd-metadata
 361746  361204 Sl   /usr/libexec/gvfsd-trash --spawner :1.10 /org/gtk/gvfs/exec_spaw/0
 361770       2 S    [nvidia-drm/timeline-4b5]
 361813   25610 Ssl  /usr/libexec/xdg-desktop-portal-gtk
 362508   25610 Ss   /snap/snapd-desktop-integration/361/usr/bin/snapd-desktop-integration
 362567  362508 Sl   /snap/snapd-desktop-integration/361/usr/bin/snapd-desktop-integration
 362737   25610 SLsl /snap/code/244/usr/share/code/code --no-sandbox --force-user-env --ozone-platform=x11
 362739  362737 S    /snap/code/244/usr/share/code/code --type=zygote --no-zygote-sandbox --no-sandbox
 362740  362737 S    /snap/code/244/usr/share/code/code --type=zygote --no-sandbox
 362754   25610 Sl   /snap/code/244/usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/bogdan/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=fa5787aa-404a-457b-972b-7b13797fe482&iid=fa5787aa-404a-457b-972b-7b13797fe482&sid=fa5787aa-404a-457b-972b-7b13797fe482 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.123.0 --annotation=lsb-release=Ubuntu 26.04 LTS --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=42.2.0 --initial-client-fd=48 --shared-client-connection
 362757  361240 R    /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.NJZJQ3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients -enable-ei-portal
 362758       2 S    [nvidia-drm/timeline-4b6]
 362763   25610 Ssl  /usr/libexec/gsd-xsettings
 362769  361240 Sl   /usr/libexec/mutter-x11-frames
 362787   25610 Sl   /usr/libexec/ibus-x11
