# SentAI Error Code Registry
# Format: CODE,MODULE,NAME,DESCRIPTION,VERSION_ADDED,STATUS
# 
# RULES:
# - New codes: Add at the end of their module section
# - Old codes: NEVER DELETE - mark as DEPRECATED with VERSION_DEPRECATED
# - Status: ACTIVE, DEPRECATED, RESERVED
#
# Code format: 0xMMEE where MM=module, EE=error
# Log format: E:MMEE:value[@timestamp]
#
# Example log: "E:0101:3" = Link TX timeout, retry count 3
#
CODE,MODULE,NAME,DESCRIPTION,VERSION_ADDED,STATUS
0x0640,HTTP,ALLOC,Memory allocation failed,v1.0,ACTIVE
0x0601,HTTP,TIMEOUT,Request timeout,v1.0,ACTIVE
# === Module 0x07: Filesystem ===
0x0701,FS,MUTEX_TIMEOUT,LFS mutex timeout,v1.0,ACTIVE
0x0720,FS,READ_FAIL,File read error,v1.0,ACTIVE
0x0721,FS,WRITE_FAIL,File write error,v1.0,ACTIVE
# === Module 0x08: MicroPython ===
# (reserved for future use)
# === Module 0x09: Audio ===
# (reserved for future use)
# === Module 0x0A: Camera ===
0x0A00,CAM,SWITCH_EOF,Switch flipped via CSI EOF ISR in VBLANK (val=cam_id),v1.2,ACTIVE
0x0A01,CAM,SWITCH_FALLBACK,ISR did not consume MUX arm within 150ms - sync fallback (val=cam_id),v1.2,ACTIVE
0x0A02,CAM,DRAIN_TIMEOUT,Post-switch drain wait hit 300ms ceiling (val=wait_ms),v1.2,ACTIVE
0x0A03,CAM,GRAB_RETRY,GetRawFrame failed - toggling MUX to recover (val=recovery_attempt),v1.2,ACTIVE
0x0AF0,CAM,GRAB_FAIL,Fatal: GetRawFrame failed after all recoveries (val=cam_id),v1.2,ACTIVE
# === Module 0x0B: TPU ===
0x0B40,TPU,ARENA_ALLOC,Tensor arena allocation failed,v1.0,ACTIVE
0x0B41,TPU,MODEL_LOAD,Model load from flash failed,v1.0,ACTIVE
0x0B42,TPU,ALLOC_TENSORS,AllocateTensors() failed,v1.0,ACTIVE
0x0B43,TPU,INPUT_COUNT,Model must have exactly 1 input tensor,v1.0,ACTIVE
0x0B44,TPU,NOT_READY,EdgeTPU not initialized,v1.0,ACTIVE
0x0B50,TPU,RING_LOOP_BOUND,Ring transfer loop exceeded bounded iterations (val=iters),v1.3,RETIRED
0x0B51,TPU,RING_SLOT_TIMEOUT,Ring slot USB-done wait timed out (val=slot_idx),v1.3,RETIRED
0x0B52,TPU,RING_DMA_FAIL,eDMA SDRAM->OCRAM producer copy failed (val=bytes),v1.3,RETIRED
0x0B53,TPU,RING_USB_SUBMIT,USB_HostEdgeTpuBulkOutSendAsync returned non-success (val=usb_status),v1.3,RETIRED
0x0B54,TPU,RING_DRAIN_TO,Drain wait for final ring slots timed out (val=slot_idx),v1.3,RETIRED
0x0B60,TPU,INV_PARAMS,SendParameters failed during EdgeTpuExecutable::Invoke (val=bytes),v1.4,ACTIVE
0x0B61,TPU,INV_INPUTS,SendInputs failed during EdgeTpuExecutable::Invoke (val=bytes),v1.4,ACTIVE
0x0B62,TPU,INV_INSTR,SendInstructions failed during EdgeTpuExecutable::Invoke (val=bytes),v1.4,ACTIVE
0x0B63,TPU,INV_OUTPUT,GetOutputs failed during EdgeTpuExecutable::Invoke (val=bytes),v1.4,ACTIVE
0x0B70,TPU,SLOT_OOB,Slot index out of range (val=slot),v1.6,ACTIVE
0x0B71,TPU,SLOT_ALLOC,Slot arena malloc failed (val=slot),v1.6,ACTIVE
0x0B72,TPU,SLOT_INTERP,new MicroInterpreter returned NULL (val=slot),v1.6,ACTIVE
0x0B73,TPU,SLOT_VEC,new std::vector<uint8_t> returned NULL (val=slot),v1.6,ACTIVE
0x0B74,TPU,SLOT_NOT_READY,Pipeline routed cam to unloaded slot (val=cam<<4|slot),v1.6,ACTIVE
# === Module 0x0C: USB ===
0x0C01,USB,NCM_TX_DROP,NCM TX dropped - not attached (alt=0),v1.1,ACTIVE
0x0C02,USB,NCM_RX_DROP,NCM RX dropped - endpoint busy,v1.1,ACTIVE
0x0C10,USB,MSC_READ_FAIL,NAND read failed during MSC bulk transfer (val=page),v1.1,ACTIVE
0x0C11,USB,MSC_WRITE_FAIL,NAND write failed during MSC bulk transfer (val=page),v1.1,ACTIVE
0x0C12,USB,MSC_ERASE_FAIL,NAND erase failed during MSC command (val=block),v1.1,ACTIVE
# === Module 0x0D: FileX/LevelX migration ===
0x0D00,LFX,CONFIRM,Caller passed wrong magic confirm to fx_smoke_run,v1.5,ACTIVE
0x0D01,LFX,LX_FORMAT,lx_nand_flash_format failed (val=lx_status),v1.5,ACTIVE
0x0D02,LFX,LX_OPEN,lx_nand_flash_open failed (val=lx_status),v1.5,ACTIVE
0x0D03,LFX,FX_FORMAT,fx_media_format failed (val=fx_status),v1.5,ACTIVE
0x0D04,LFX,FX_OPEN,fx_media_open failed (val=fx_status),v1.5,ACTIVE
0x0D05,LFX,FT,fx_fault_tolerant_enable failed (non-fatal),v1.5,ACTIVE
0x0D10,LFX,FILE_CREATE,fx_file_create failed during smoke (val=fx_status),v1.5,ACTIVE
0x0D11,LFX,FILE_OPEN,fx_file_open failed during smoke (val=fx_status),v1.5,ACTIVE
0x0D12,LFX,FILE_WRITE,fx_file_write failed during smoke (val=fx_status),v1.5,ACTIVE
0x0D13,LFX,FILE_READ,fx_file_read failed or short read during smoke,v1.5,ACTIVE
0x0D14,LFX,VERIFY,Readback content mismatch during smoke,v1.5,ACTIVE
0x0D20,LFX,CLOSE,fx_media_close failed (val=fx_status),v1.5,ACTIVE
0x0D21,LFX,NAND_READ,Nand_Flash_Read_Page failed after 3 retries (val=phys_page),v1.6,ACTIVE
0x0D22,LFX,NAND_PROG,Nand_Flash_Page_Program failed (val=phys_page),v1.6,ACTIVE
0x0D23,LFX,NAND_ERASE,Nand_Flash_Erase_Block failed (val=phys_block),v1.6,ACTIVE
0x0D24,LFX,LBA_RANGE,MSC LBA out of range (val=lba),v1.6,ACTIVE
0x0D25,LFX,LOCK_TIMEOUT,FxUser mutex acquisition timed out (val=ms_waited),v1.6,ACTIVE
0x0D26,LFX,NOT_MOUNTED,FxUser API called on unmounted volume (val=op_id),v1.6,ACTIVE
0x0DF0,LFX,RESTORE_LFS,LfsUserInit re-format failed after smoke - user partition unusable until reflash,v1.5,ACTIVE
# === Module 0x0F: System ===
0x0F01,SYS,BOOT_ATTEMPT,Boot attempt N - counter from SRC_GPR1 (val=attempt_number),v1.0,ACTIVE
0x0FF0,SYS,RECOVERY_MODE,Recovery mode entered after boot loop (val=attempt_count),v1.0,ACTIVE
0x0FF1,SYS,STACK_OVF,Stack overflow detected,v1.0,ACTIVE
0x0FF2,SYS,MALLOC_FAIL,pvPortMalloc returned NULL,v1.0,ACTIVE
0x0FF3,SYS,ASSERT,configASSERT fired,v1.0,ACTIVE
0x0FF4,SYS,BUS_FAULT,ARMv7-M BusFault handler (val=CFSR),v1.0,ACTIVE
0x0FF5,SYS,USAGE_FAULT,ARMv7-M UsageFault handler (val=CFSR),v1.0,ACTIVE
0x0FF6,SYS,MEMMANAGE,ARMv7-M MemManage/MPU fault (val=CFSR),v1.0,ACTIVE
0x0FFF,SYS,HARDFAULT,Hard fault handler,v1.0,ACTIVE
# === Module 0x0E: sentai.flow optical-flow stack ===
0x0E01,FLOW,M4_NOT_ALIVE,M4 magic timeout at flow.m4_enable() (val=ms_waited),v1.7,ACTIVE
0x0E02,FLOW,PUB_GRAB,publisher_task: cam_grab_latest failed (val=consecutive count),v1.7,ACTIVE
0x0E03,FLOW,PUB_TASK_CREATE,xTaskCreate(flow_m4_pub) returned non-pdPASS (val=BaseType_t),v1.7,ACTIVE
0x0E10,FLOW,M4_HEARTBEAT_STALL,M4 heartbeat counter has not advanced for >Tmax_ms (val=ms_since_last),v1.7,ACTIVE
0x0E11,FLOW,M4_FRAME_DROPPED,M4 frames_dropped counter advanced (val=delta),v1.7,ACTIVE
0x0E20,FLOW,BAD_CAM_ID,flow.m4_start called with cam_id != 0/1 (val=cam_id),v1.7,ACTIVE
